unit_ids,unit location,branch_id,velocity,length,r2
0,[3412.5 -945. ],0,445.1357798,744.4584221,0.977148733
0,[3412.5 -945. ],1,206.1107069,461.2378942,0.888343582
0,[3412.5 -945. ],2,236.9361246,370.5379157,0.969496764
2,[1050. -560.],0,370.2351889,963.7508052,0.983166092
2,[1050. -560.],1,294.4717007,803.8451747,0.990186162
31,[ 2047.5 -1522.5],0,79.34637947,449.8145281,0.984150561
38,[1295.  -507.5],0,68.03857075,356.2630381,0.991742853
38,[1295.  -507.5],1,85.07541095,651.1425486,0.93795158
38,[1295.  -507.5],2,86.31143916,611.6528787,0.872377314
38,[1295.  -507.5],3,242.9536139,634.7754163,0.828491631
38,[1295.  -507.5],4,586.0780977,683.3637882,0.993605568
52,[ 3097.5 -1522.5],0,141.0242323,689.1563084,0.975836146
80,[ 945. -700.],0,248.4058625,1446.166832,0.995240113
80,[ 945. -700.],1,253.4689118,1394.297293,0.975360093
81,[ 2170.  -1067.5],0,107.7759587,557.9238775,0.81207991
92,[ 2345.  -1242.5],0,229.8565895,291.545392,0.962776694
92,[ 2345.  -1242.5],1,245.3753834,363.9306026,0.99684766
112,[ 1925.  -1172.5],0,717.1501556,263.9745968,0.94468516
130,[ 1837.5 -1102.5],0,89.19922832,516.0195772,0.937698815
177,[ 1592.5 -1487.5],0,140.4869873,662.8601749,0.955292123
190,[ 2607.5 -1645. ],0,689.1266533,229.3646175,0.982670081
190,[ 2607.5 -1645. ],1,455.7464879,314.9497132,0.998392218
190,[ 2607.5 -1645. ],2,519.014584,326.8214379,0.952102124
190,[ 2607.5 -1645. ],3,589.9277098,362.6507668,0.837602858
205,[2047.5 -455. ],0,1061.125085,369.0241741,0.969228014
205,[2047.5 -455. ],1,681.6361556,491.7328415,0.998594611
205,[2047.5 -455. ],2,433.9375173,551.731176,0.984592815
205,[2047.5 -455. ],3,436.1498212,424.630497,0.823853621
210,[1120. -840.],0,457.1369115,1170.869654,0.979320962
227,[ 1960. -1435.],0,88.45320646,456.6429257,0.994233121
227,[ 1960. -1435.],1,317.1974837,312.4541012,0.99354504
237,[1435.  -542.5],0,231.0257224,537.163969,0.977398689
237,[1435.  -542.5],1,155.7175535,620.042012,0.969452586
